# cwd not inside a repo
# Loss.Nf                = 60
# Loss.fmin              = 45000000000.0
# Loss.fmax              = 155000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.003, 0.003)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 10
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (40, 40)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
1,5995.65,5995.65,0.0,200,1.0,accept
2,5995.65,5921.3,74.35,200,1.5,accept
3,5921.3,5921.3,0.0,200,1.0,accept
4,5921.3,5921.2,0.1,199,1.0,accept
5,5921.2,5772.47,148.73,199,2.1,accept
6,5772.47,5776.62,-4.15,198,1.0,accept
7,5776.62,5776.62,0.0,197,1.0,accept
1,5995.65,5995.65,0.0,200,1.0,accept
8,5776.62,5995.65,-219.03,196,0.3,reject
2,5995.65,6488.7,-493.05,200,0.1,reject
9,5776.62,5995.65,-219.03,195,0.3,reject
3,5995.65,5995.65,0.0,200,1.0,accept
10,5776.62,5776.69,-0.07,194,1.0,accept
4,5995.65,5995.65,0.0,199,1.0,accept
11,5776.69,5791.79,-15.1,193,0.9,accept
5,5995.65,5995.65,0.0,199,1.0,accept
12,5791.79,5701.95,89.84,191,1.6,accept
6,5995.65,5996.6,-0.95,198,1.0,accept
13,5701.95,5619.09,82.86,190,1.5,accept
7,5996.6,5996.53,0.07,197,1.0,accept
14,5619.09,5617.66,1.43,188,1.0,accept
8,5996.53,5994.7,1.83,196,1.0,accept
9,5994.7,5995.28,-0.58,195,1.0,accept
15,5617.66,5618.08,-0.42,186,1.0,accept
16,5618.08,5635.31,-17.23,185,0.9,accept
10,5995.28,5995.28,0.0,194,1.0,accept
17,5635.31,5618.03,17.28,183,1.1,accept
11,5995.28,6092.54,-97.26,193,0.6,accept
18,5618.03,5995.65,-377.62,181,0.1,reject
12,6092.54,6369.34,-276.8,191,0.2,reject
19,5618.03,5616.86,1.17,178,1.0,accept
20,5616.86,5997.22,-380.36,176,0.1,reject
13,6092.54,17076.3,-10983.76,190,0.0,reject
21,5616.86,5691.7,-74.84,174,0.7,accept
14,6092.54,17050.32,-10957.78,188,0.0,reject
22,5691.7,5797.72,-106.02,171,0.5,accept
15,6092.54,6162.54,-70.0,186,0.7,accept
23,5797.72,5797.74,-0.02,169,1.0,accept
16,6162.54,6145.53,17.01,185,1.1,accept
24,5797.74,5995.65,-197.91,166,0.3,accept
25,5995.65,5913.09,82.56,164,1.7,accept
17,6145.53,5992.64,152.89,183,2.3,accept
26,5913.09,5913.09,0.0,161,1.0,accept
18,5992.64,5993.92,-1.28,181,1.0,accept
27,5913.09,5913.09,0.0,158,1.0,accept
19,5993.92,5993.92,0.0,178,1.0,accept
28,5913.09,5913.09,0.0,155,1.0,accept
20,5993.92,6209.49,-215.57,176,0.3,reject
29,5913.09,5913.09,0.0,152,1.0,accept
21,5993.92,5993.95,-0.03,174,1.0,accept
30,5913.09,5913.09,0.0,149,1.0,accept
22,5993.95,6250.13,-256.18,171,0.2,reject
31,5913.09,5913.09,0.0,146,1.0,accept
23,5993.95,5993.95,0.0,169,1.0,accept
32,5913.09,5913.09,0.0,143,1.0,accept
24,5993.95,5995.65,-1.7,166,1.0,accept
33,5913.09,5913.09,0.0,140,1.0,accept
25,5995.65,5995.65,0.0,164,1.0,accept
34,5913.09,5913.09,0.0,137,1.0,accept
26,5995.65,5995.65,0.0,161,1.0,accept
35,5913.09,5913.09,0.0,134,1.0,accept
27,5995.65,5995.65,0.0,158,1.0,accept
36,5913.09,5913.09,0.0,131,1.0,accept
28,5995.65,5995.65,0.0,155,1.0,accept
37,5913.09,5913.09,0.0,128,1.0,accept
29,5995.65,6626.48,-630.83,152,0.0,reject
38,5913.09,5912.49,0.6,125,1.0,accept
30,5995.65,5995.65,0.0,149,1.0,accept
39,5912.49,5912.49,0.0,122,1.0,accept
31,5995.65,5995.65,0.0,146,1.0,accept
40,5912.49,6399.51,-487.02,118,0.0,reject
32,5995.65,5995.65,0.0,143,1.0,accept
41,5912.49,5912.49,0.0,115,1.0,accept
33,5995.65,5995.65,0.0,140,1.0,accept
42,5912.49,5912.06,0.43,112,1.0,accept
34,5995.65,5995.65,0.0,137,1.0,accept
43,5912.06,5913.09,-1.03,109,1.0,accept
35,5995.65,6026.88,-31.23,134,0.8,accept
44,5913.09,6211.22,-298.13,106,0.1,reject
36,6026.88,5974.26,52.62,131,1.5,accept
45,5913.09,5913.09,0.0,103,1.0,accept
37,5974.26,5944.94,29.32,128,1.3,accept
46,5913.09,5913.09,0.0,100,1.0,accept
38,5944.94,5819.18,125.76,125,2.7,accept
47,5913.09,5913.09,0.0, 97,1.0,accept
39,5819.18,5747.65,71.53,122,1.8,accept
48,5913.09,5913.09,0.0, 94,1.0,accept
40,5747.65,5819.18,-71.53,118,0.5,accept
49,5913.09,6154.51,-241.42, 91,0.1,reject
41,5819.18,5819.18,0.0,115,1.0,accept
50,5913.09,5907.38,5.71, 88,1.1,accept
42,5819.18,5819.18,0.0,112,1.0,accept
51,5907.38,5906.68,0.7, 85,1.0,accept
43,5819.18,6541.22,-722.04,109,0.0,reject
52,5906.68,5912.92,-6.24, 82,0.9,reject
44,5819.18,5819.18,0.0,106,1.0,accept
53,5906.68,5898.06,8.62, 79,1.1,accept
45,5819.18,5819.18,0.0,103,1.0,accept
54,5898.06,5894.97,3.09, 76,1.0,accept
46,5819.18,5995.65,-176.47,100,0.2,accept
55,5894.97,5894.86,0.11, 73,1.0,accept
47,5995.65,5995.65,0.0, 97,1.0,accept
56,5894.86,5912.56,-17.7, 71,0.8,accept
48,5995.65,5995.65,0.0, 94,1.0,accept
49,5995.65,5995.65,0.0, 91,1.0,accept
57,5912.56,6219.72,-307.16, 68,0.0,reject
50,5995.65,5995.65,0.0, 88,1.0,accept
58,5912.56,5912.72,-0.16, 65,1.0,accept
51,5995.65,5995.65,0.0, 85,1.0,accept
52,5995.65,5995.65,0.0, 82,1.0,accept
59,5912.72,5895.19,17.53, 63,1.3,accept
53,5995.65,5995.65,0.0, 79,1.0,accept
60,5895.19,6010.96,-115.77, 60,0.1,accept
54,5995.65,5978.74,16.91, 76,1.2,accept
55,5978.74,5979.08,-0.34, 73,1.0,accept
61,6010.96,6000.89,10.07, 58,1.2,accept
56,5979.08,6145.37,-166.29, 71,0.1,reject
62,6000.89,5953.42,47.47, 56,2.3,accept
57,5979.08,5978.51,0.57, 68,1.0,accept
63,5953.42,5913.38,40.04, 53,2.1,accept
58,5978.51,5978.49,0.02, 65,1.0,accept
64,5913.38,5789.13,124.25, 51,11.3,accept
59,5978.49,5978.86,-0.37, 63,1.0,accept
65,5789.13,6008.98,-219.85, 49,0.0,reject
60,5978.86,5980.31,-1.45, 60,1.0,accept
66,5789.13,5789.1,0.03, 47,1.0,accept
61,5980.31,6239.85,-259.54, 58,0.0,reject
67,5789.1,5785.36,3.74, 45,1.1,accept
62,5980.31,6011.26,-30.95, 56,0.6,accept
68,5785.36,17067.37,-11282.01, 43,0.0,reject
69,5785.36,6090.3,-304.94, 41,0.0,reject
63,6011.26,6012.93,-1.67, 53,1.0,accept
70,5785.36,5828.84,-43.48, 39,0.3,reject
71,5785.36,5789.1,-3.74, 37,0.9,reject
64,6012.93,6012.96,-0.03, 51,1.0,accept
72,5785.36,5789.98,-4.62, 35,0.9,accept
73,5789.98,5914.2,-124.22, 34,0.0,reject
65,6012.96,6013.78,-0.82, 49,1.0,accept
74,5789.98,5790.53,-0.55, 32,1.0,accept
75,5790.53,5914.19,-123.66, 30,0.0,reject
66,6013.78,6013.57,0.21, 47,1.0,accept
76,5790.53,5881.52,-90.99, 29,0.0,reject
77,5790.53,5786.27,4.26, 27,1.2,accept
67,6013.57,6012.4,1.17, 45,1.0,accept
78,5786.27,5785.97,0.3, 26,1.0,accept
79,5785.97,5789.74,-3.77, 25,0.9,accept
80,5789.74,5789.6,0.14, 23,1.0,accept
68,6012.4,6011.94,0.46, 43,1.0,accept
81,5789.6,5902.26,-112.66, 22,0.0,reject
82,5789.6,5812.04,-22.44, 21,0.3,accept
69,6011.94,6013.41,-1.47, 41,1.0,accept
83,5812.04,5788.35,23.69, 20,3.3,accept
84,5788.35,5844.59,-56.24, 19,0.0,reject
70,6013.41,6014.09,-0.68, 39,1.0,accept
85,5788.35,5845.23,-56.88, 18,0.0,reject
86,5788.35,5928.8,-140.45, 17,0.0,reject
71,6014.09,6016.63,-2.54, 37,0.9,accept
87,5788.35,6036.28,-247.93, 16,0.0,reject
72,6016.63,6013.83,2.8, 35,1.1,accept
88,5788.35,5929.17,-140.82, 15,0.0,reject
73,6013.83,5897.18,116.65, 34,31.9,accept
89,5788.35,5788.27,0.08, 14,1.0,accept
74,5897.18,5986.74,-89.56, 32,0.1,reject
90,5788.27,5813.55,-25.28, 13,0.1,reject
75,5897.18,5897.69,-0.51, 30,1.0,accept
76,5897.69,5896.99,0.7, 29,1.0,accept
91,5788.27,5807.13,-18.86, 12,0.2,reject
77,5896.99,5614.45,282.54, 27,29144.7,accept
92,5788.27,6024.47,-236.2, 12,0.0,reject
78,5614.45,5984.74,-370.29, 26,0.0,reject
79,5614.45,5995.65,-381.2, 25,0.0,reject
93,5788.27,5787.99,0.28, 11,1.0,accept
80,5614.45,5600.71,13.74, 23,1.8,accept
94,5787.99,8963.92,-3175.93, 10,0.0,reject
81,5600.71,5740.06,-139.35, 22,0.0,reject
82,5600.71,5600.68,0.03, 21,1.0,accept
95,5787.99,5788.11,-0.12, 10,1.0,accept
83,5600.68,5614.44,-13.76, 20,0.5,reject
96,5788.11,5929.23,-141.12,  9,0.0,reject
84,5600.68,5600.68,0.0, 19,1.0,accept
97,5788.11,5807.03,-18.92,  8,0.1,accept
85,5600.68,17297.57,-11696.89, 18,0.0,reject
86,5600.68,5995.65,-394.97, 17,0.0,reject
98,5807.03,5807.67,-0.64,  8,0.9,accept
87,5600.68,5614.44,-13.76, 16,0.4,accept
99,5807.67,5801.32,6.35,  7,2.4,accept
88,5614.44,5753.44,-139.0, 15,0.0,reject
89,5614.44,5614.45,-0.01, 14,1.0,accept
100,5801.32,5802.01,-0.69,  7,0.9,accept
90,5614.45,5903.92,-289.47, 13,0.0,reject
101,5802.01,9288.08,-3486.07,  6,0.0,reject
91,5614.45,5600.71,13.74, 12,3.0,accept
92,5600.71,5600.71,0.0, 12,1.0,accept
102,5802.01,5784.44,17.57,  6,19.1,accept
93,5600.71,5614.45,-13.74, 11,0.3,accept
94,5614.45,5995.65,-381.2, 10,0.0,reject
103,5784.44,5800.3,-15.86,  6,0.1,reject
95,5614.45,6013.37,-398.92, 10,0.0,reject
104,5784.44,5783.84,0.6,  5,1.1,accept
96,5614.45,5995.65,-381.2,  9,0.0,reject
105,5783.84,6022.7,-238.86,  5,0.0,reject
97,5614.45,6013.37,-398.92,  8,0.0,reject
106,5783.84,5783.88,-0.04,  4,1.0,accept
98,5614.45,5986.52,-372.07,  8,0.0,reject
107,5783.88,5783.21,0.67,  4,1.2,accept
99,5614.45,5614.45,0.0,  7,1.0,accept
100,5614.45,5614.45,0.0,  7,1.0,accept
108,5783.21,5915.55,-132.34,  4,0.0,reject
