# 32e75a017076fcf47c756d329b7a68bc433d61be
# Loss.Nf                = 60
# Loss.fmin              = 20000000000.0
# Loss.fmax              = 190000000000.0
# Loss.z0                = 1000
# Loss.feedDiam          = 3.05e-05
# Loss.lPerPixel         = 3.05e-05
# Loss.boardDim          = (0.002, 0.002)
# Loss.leftLim           = 5e+10
# Loss.rightLim          = 1.5e+11
# Loss.T                 = -10
# Loss.p                 = 2.5
# Loss.div               = 5
# AnnealOpt.n_calls      = 1500
# AnnealOpt.x_ini0.shape = (20, 20)
# AnnealOpt.pp           = (5, 5)
Iter_,y_prev,y_candid,y_delta,T,P,choice
1,3836.74,3823.36,13.38,200,1.1,accept
2,3823.36,3823.36,0.0,200,1.0,accept
3,3823.36,3838.57,-15.21,200,0.9,accept
4,3838.57,3838.57,0.0,199,1.0,accept
5,3838.57,3838.57,0.0,199,1.0,accept
6,3838.57,3838.57,0.0,198,1.0,accept
7,3838.57,3838.57,0.0,197,1.0,accept
8,3838.57,3854.6,-16.03,196,0.9,accept
9,3854.6,3854.6,0.0,195,1.0,accept
10,3854.6,3833.15,21.45,194,1.1,accept
11,3833.15,3833.15,0.0,193,1.0,accept
12,3833.15,3835.27,-2.12,191,1.0,accept
13,3835.27,3842.44,-7.17,190,1.0,accept
14,3842.44,3842.44,0.0,188,1.0,accept
15,3842.44,3842.44,0.0,186,1.0,accept
16,3842.44,3828.79,13.65,185,1.1,accept
17,3828.79,3853.77,-24.98,183,0.9,accept
18,3853.77,3855.1,-1.33,181,1.0,accept
19,3855.1,3854.96,0.14,178,1.0,accept
20,3854.96,3855.04,-0.08,176,1.0,accept
21,3855.04,3830.45,24.59,174,1.2,accept
22,3830.45,4130.07,-299.62,171,0.2,reject
23,3830.45,3843.35,-12.9,169,0.9,accept
24,3843.35,3839.1,4.25,166,1.0,accept
25,3839.1,4004.45,-165.35,164,0.4,accept
26,4004.45,3998.48,5.97,161,1.0,accept
27,3998.48,3879.83,118.65,158,2.1,accept
28,3879.83,3873.84,5.99,155,1.0,accept
29,3873.84,3825.87,47.97,152,1.4,accept
30,3825.87,3825.84,0.03,149,1.0,accept
31,3825.84,3931.04,-105.2,146,0.5,reject
32,3825.84,3901.45,-75.61,143,0.6,accept
33,3901.45,3901.24,0.21,140,1.0,accept
34,3901.24,3902.28,-1.04,137,1.0,accept
35,3902.28,3901.98,0.3,134,1.0,accept
36,3901.98,3914.32,-12.34,131,0.9,accept
37,3914.32,3881.59,32.73,128,1.3,accept
38,3881.59,3873.61,7.98,125,1.1,accept
39,3873.61,3855.04,18.57,122,1.2,accept
40,3855.04,3838.12,16.92,118,1.2,accept
41,3838.12,3839.3,-1.18,115,1.0,accept
42,3839.3,3838.99,0.31,112,1.0,accept
43,3838.99,3822.84,16.15,109,1.2,accept
44,3822.84,3891.84,-69.0,106,0.5,accept
45,3891.84,3889.4,2.44,103,1.0,accept
46,3889.4,3889.81,-0.41,100,1.0,accept
47,3889.81,3889.43,0.38, 97,1.0,accept
48,3889.43,3887.58,1.85, 94,1.0,accept
49,3887.58,3889.38,-1.8, 91,1.0,accept
50,3889.38,3879.72,9.66, 88,1.1,accept
51,3879.72,3871.55,8.17, 85,1.1,accept
52,3871.55,11067.96,-7196.41, 82,0.0,reject
53,3871.55,3851.65,19.9, 79,1.3,accept
54,3851.65,3884.54,-32.89, 76,0.6,accept
55,3884.54,3859.04,25.5, 73,1.4,accept
56,3859.04,3781.21,77.83, 71,3.0,accept
57,3781.21,3780.54,0.67, 68,1.0,accept
58,3780.54,3782.4,-1.86, 65,1.0,accept
59,3782.4,3688.55,93.85, 63,4.4,accept
60,3688.55,3688.55,0.0, 60,1.0,accept
61,3688.55,3682.98,5.57, 58,1.1,accept
62,3682.98,5280.24,-1597.26, 56,0.0,reject
63,3682.98,3682.56,0.42, 53,1.0,accept
64,3682.56,3682.59,-0.03, 51,1.0,accept
65,3682.59,3791.53,-108.94, 49,0.1,reject
66,3682.59,3684.46,-1.87, 47,1.0,accept
67,3684.46,3813.69,-129.23, 45,0.1,accept
68,3813.69,3758.16,55.53, 43,3.7,accept
69,3758.16,3758.06,0.1, 41,1.0,accept
70,3758.06,3756.05,2.01, 39,1.1,accept
71,3756.05,3755.99,0.06, 37,1.0,accept
72,3755.99,3706.67,49.32, 35,4.0,accept
73,3706.67,5199.65,-1492.98, 34,0.0,reject
74,3706.67,3708.21,-1.54, 32,1.0,accept
75,3708.21,3698.82,9.39, 30,1.4,accept
76,3698.82,3675.33,23.49, 29,2.3,accept
77,3675.33,3668.22,7.11, 27,1.3,accept
78,3668.22,3669.83,-1.61, 26,0.9,accept
79,3669.83,3676.37,-6.54, 25,0.8,accept
80,3676.37,10619.6,-6943.23, 23,0.0,reject
81,3676.37,3674.39,1.98, 22,1.1,accept
82,3674.39,3749.48,-75.09, 21,0.0,reject
83,3674.39,3740.2,-65.81, 20,0.0,reject
84,3674.39,3718.17,-43.78, 19,0.1,reject
85,3674.39,4248.98,-574.59, 18,0.0,reject
86,3674.39,3658.47,15.92, 17,2.6,accept
87,3658.47,3658.26,0.21, 16,1.0,accept
88,3658.26,3660.05,-1.79, 15,0.9,accept
89,3660.05,3741.52,-81.47, 14,0.0,reject
90,3660.05,3733.12,-73.07, 13,0.0,reject
91,3660.05,3666.39,-6.34, 12,0.6,reject
92,3660.05,3662.05,-2.0, 12,0.8,accept
93,3662.05,3662.06,-0.01, 11,1.0,accept
94,3662.06,3796.25,-134.19, 10,0.0,reject
95,3662.06,3820.02,-157.96, 10,0.0,reject
96,3662.06,3661.71,0.35,  9,1.0,accept
97,3661.71,3894.58,-232.87,  8,0.0,reject
98,3661.71,3665.04,-3.33,  8,0.7,accept
99,3665.04,3711.6,-46.56,  7,0.0,reject
100,3665.04,3684.61,-19.57,  7,0.1,reject
101,3665.04,3660.86,4.18,  6,1.9,accept
102,3660.86,3767.06,-106.2,  6,0.0,reject
103,3660.86,3869.94,-209.08,  6,0.0,reject
104,3660.86,3661.14,-0.28,  5,0.9,accept
105,3661.14,3616.64,44.5,  5,10419.1,accept
106,3616.64,9071.88,-5455.24,  4,0.0,reject
107,3616.64,3656.01,-39.37,  4,0.0,reject
108,3616.64,11067.96,-7451.32,  4,0.0,reject
109,3616.64,3617.64,-1.0,  4,0.8,reject
110,3616.64,3660.16,-43.52,  3,0.0,reject
111,3616.64,11067.95,-7451.31,  3,0.0,reject
112,3616.64,3593.16,23.48,  3,3774.1,accept
113,3593.16,3593.05,0.11,  3,1.0,accept
114,3593.05,3634.87,-41.82,  2,0.0,reject
115,3593.05,3593.85,-0.8,  2,0.7,accept
116,3593.85,3662.36,-68.51,  2,0.0,reject
117,3593.85,4193.17,-599.32,  2,0.0,reject
118,3593.85,3598.26,-4.41,  2,0.1,reject
119,3593.85,3601.82,-7.97,  2,0.0,reject
120,3593.85,3596.82,-2.97,  2,0.1,accept
121,3596.82,3591.44,5.38,  1,49.1,accept
122,3591.44,3591.47,-0.03,  1,1.0,accept
123,3591.47,3620.65,-29.18,  1,0.0,reject
124,3591.47,3625.44,-33.97,  1,0.0,reject
125,3591.47,8820.89,-5229.42,  1,0.0,reject
126,3591.47,3591.02,0.45,  1,1.6,accept
127,3591.02,3590.88,0.14,  1,1.2,accept
128,3590.88,3591.42,-0.54,  1,0.5,reject
129,3590.88,3589.89,0.99,  1,4.2,accept
130,3589.89,3683.24,-93.35,  1,0.0,reject
131,3589.89,3591.13,-1.24,  1,0.1,reject
132,3589.89,3574.76,15.13,  1,3057933418648.8,accept
133,3574.76,3671.04,-96.28,  0,0.0,reject
