bolometer 7kOm sample 1,bolometer 7kOm sample 1,
7494.9225254059,6.844275E-4,
7491.0651283264,6.724147E-4,
7487.2077312469,6.540114E-4,
7483.3503341675,6.410425E-4,
7479.492937088,6.522191E-4,
7475.6355400085,6.750309E-4,
7471.7781429291,6.754649E-4,
7467.9207458496,7.042103E-4,
7464.0633487701,7.511339E-4,
7460.2059516907,6.971604E-4,
7456.3485546112,5.595995E-4,
7452.4911575317,4.939517E-4,
7448.6337604523,5.586509E-4,
7444.7763633728,6.42415E-4,
7440.9189662933,5.828916E-4,
7437.0615692139,4.192283E-4,
7433.2041721344,4.026483E-4,
7429.3467750549,5.64008E-4,
7425.4893779755,6.772247E-4,
7421.631980896,6.889196E-4,
7417.7745838165,7.055572E-4,
7413.9171867371,7.359213E-4,
7410.0597896576,7.506888E-4,
7406.2023925781,7.6372E-4,
7402.3449954987,7.512056E-4,
7398.4875984192,7.029002E-4,
7394.6302013397,6.839593E-4,
7390.7728042603,7.12363E-4,
7386.9154071808,7.350168E-4,
7383.0580101013,7.404387E-4,
7379.2006130219,7.566735E-4,
7375.3432159424,7.76217E-4,
7371.4858188629,7.837439E-4,
7367.6284217834,7.864448E-4,
7363.771024704,7.788029E-4,
7359.9136276245,7.539175E-4,
7356.056230545,7.271881E-4,
7352.1988334656,7.263519E-4,
7348.3414363861,7.526433E-4,
7344.4840393066,7.775471E-4,
7340.6266422272,7.857836E-4,
7336.7692451477,7.729589E-4,
7332.9118480682,7.551032E-4,
7329.0544509888,7.592094E-4,
7325.1970539093,7.720569E-4,
7321.3396568298,7.750001E-4,
7317.4822597504,7.786615E-4,
7313.6248626709,7.811206E-4,
7309.7674655914,7.744479E-4,
7305.910068512,7.744298E-4,
7302.0526714325,7.857233E-4,
7298.195274353,7.902826E-4,
7294.3378772736,7.734632E-4,
7290.4804801941,7.46666E-4,
7286.6230831146,7.552777E-4,
7282.7656860352,8.06184E-4,
7278.9082889557,8.341719E-4,
7275.0508918762,8.099055E-4,
7271.1934947968,7.929907E-4,
7267.3360977173,8.243037E-4,
7263.4787006378,8.603241E-4,
7259.6213035583,8.607446E-4,
7255.7639064789,8.350314E-4,
7251.9065093994,8.085736E-4,
7248.0491123199,8.16044E-4,
7244.1917152405,8.639538E-4,
7240.334318161,9.025171E-4,
7236.4769210815,8.945405E-4,
7232.6195240021,8.689751E-4,
7228.7621269226,8.565158E-4,
7224.9047298431,8.450797E-4,
7221.0473327637,8.316923E-4,
7217.1899356842,8.284636E-4,
7213.3325386047,8.479783E-4,
7209.4751415253,8.973352E-4,
7205.6177444458,9.448329E-4,
7201.7603473663,9.542591E-4,
7197.9029502869,9.313344E-4,
7194.0455532074,8.980974E-4,
7190.1881561279,8.711163E-4,
7186.3307590485,8.673379E-4,
7182.473361969,8.812329E-4,
7178.6159648895,8.906563E-4,
7174.7585678101,9.040562E-4,
7170.9011707306,9.266709E-4,
7167.0437736511,9.434033E-4,
7163.1863765717,9.44298E-4,
7159.3289794922,9.214456E-4,
7155.4715824127,8.954179E-4,
7151.6141853333,8.900441E-4,
7147.7567882538,9.020382E-4,
7143.8993911743,9.237068E-4,
7140.0419940948,9.467383E-4,
7136.1845970154,9.691935E-4,
7132.3271999359,9.771099E-4,
7128.4698028564,9.571837E-4,
7124.612405777,9.341711E-4,
7120.7550086975,9.316165E-4,
7116.897611618,9.442208E-4,
7113.0402145386,9.602642E-4,
7109.1828174591,9.775606E-4,
7105.3254203796,0.0010050857,
7101.4680233002,0.0010461292,
7097.6106262207,0.0010688745,
7093.7532291412,0.0010435953,
7089.8958320618,0.0010019077,
7086.0384349823,9.873622E-4,
7082.1810379028,0.001001732,
7078.3236408234,0.0010192855,
7074.4662437439,0.0010205886,
7070.6088466644,0.0010154197,
7066.751449585,0.0010212844,
7062.8940525055,0.0010409368,
7059.036655426,0.0010525452,
7055.1792583466,0.0010428382,
7051.3218612671,0.0010448807,
7047.4644641876,0.0010729968,
7043.6070671082,0.0010844721,
7039.7496700287,0.0010640377,
7035.8922729492,0.0010659287,
7032.0348758698,0.0011117753,
7028.1774787903,0.0011489018,
7024.3200817108,0.001149716,
7020.4626846313,0.0011348017,
7016.6052875519,0.0011202721,
7012.7478904724,0.0011077239,
7008.8904933929,0.0011035068,
7005.0330963135,0.0011051132,
7001.175699234,0.0010892134,
6997.3183021545,0.0010621105,
6993.4609050751,0.0010538661,
6989.6035079956,0.0010719051,
6985.7461109161,0.0011018747,
6981.8887138367,0.0011217854,
6978.0313167572,0.001128559,
6974.1739196777,0.0011341455,
6970.3165225983,0.0011329423,
6966.4591255188,0.0011168803,
6962.6017284393,0.00111392,
6958.7443313599,0.0011438048,
6954.8869342804,0.001174842,
6951.0295372009,0.0011879995,
6947.1721401215,0.0011994097,
6943.314743042,0.0012115547,
6939.4573459625,0.0012044099,
6935.5999488831,0.0011719302,
6931.7425518036,0.0011322557,
6927.8851547241,0.0011140544,
6924.0277576447,0.0011368658,
6920.1703605652,0.0011740164,
6916.3129634857,0.0012039554,
6912.4555664063,0.0012270815,
6908.5981693268,0.0012101904,
6904.7407722473,0.0011654514,
6900.8833751678,0.001164662,
6897.0259780884,0.0012135566,
6893.1685810089,0.0012457612,
6889.3111839294,0.0012390865,
6885.45378685,0.001238271,
6881.5963897705,0.0012514356,
6877.738992691,0.0012477728,
6873.8815956116,0.001229217,
6870.0241985321,0.0012110937,
6866.1668014526,0.0012069077,
6862.3094043732,0.0012391241,
6858.4520072937,0.0012868926,
6854.5946102142,0.0012829015,
6850.7372131348,0.0012298948,
6846.8798160553,0.0012046341,
6843.0224189758,0.0012283034,
6839.1650218964,0.0012581655,
6835.3076248169,0.0012659186,
6831.4502277374,0.0012565561,
6827.592830658,0.0012504811,
6823.7354335785,0.0012644923,
6819.878036499,0.0012914122,
6816.0206394196,0.0013010298,
6812.1632423401,0.0012874627,
6808.3058452606,0.0012913072,
6804.4484481812,0.0013307137,
6800.5910511017,0.0013570322,
6796.7336540222,0.0013426235,
6792.8762569427,0.001328024,
6789.0188598633,0.0013317883,
6785.1614627838,0.0013361087,
6781.3040657043,0.0013313217,
6777.4466686249,0.0013087766,
6773.5892715454,0.0012870738,
6769.7318744659,0.0013008912,
6765.8744773865,0.0013377415,
6762.017080307,0.0013535024,
6758.1596832275,0.0013350457,
6754.3022861481,0.0013041586,
6750.4448890686,0.0012866938,
6746.5874919891,0.0013020274,
6742.7300949097,0.0013349291,
6738.8726978302,0.0013579334,
6735.0153007507,0.0013833444,
6731.1579036713,0.0014193516,
6727.3005065918,0.0014432697,
6723.4431095123,0.001445407,
6719.5857124329,0.001440678,
6715.7283153534,0.0014365092,
6711.8709182739,0.0014349453,
6708.0135211945,0.0014460611,
6704.156124115,0.0014622689,
6700.2987270355,0.0014712105,
6696.4413299561,0.0014700401,
6692.5839328766,0.0014552483,
6688.7265357971,0.0014393813,
6684.8691387177,0.0014379718,
6681.0117416382,0.0014376895,
6677.1543445587,0.0014265839,
6673.2969474792,0.0014375392,
6669.4395503998,0.0014834902,
6665.5821533203,0.0015147731,
6661.7247562408,0.001514842,
6657.8673591614,0.0015161518,
6654.0099620819,0.0015123058,
6650.1525650024,0.0014799903,
