bolometer 5kOm sample 2.0,bolometer 5kOm sample 2.0,
7494.9225254059,4.535939E-4,
7491.0651283264,4.539303E-4,
7487.2077312469,4.625546E-4,
7483.3503341675,4.645605E-4,
7479.492937088,4.719015E-4,
7475.6355400085,4.802709E-4,
7471.7781429291,4.813552E-4,
7467.9207458496,5.052894E-4,
7464.0633487701,4.908158E-4,
7460.2059516907,4.11092E-4,
7456.3485546112,4.079061E-4,
7452.4911575317,5.276558E-4,
7448.6337604523,6.452271E-4,
7444.7763633728,6.921693E-4,
7440.9189662933,7.18797E-4,
7437.0615692139,7.20081E-4,
7433.2041721344,6.253657E-4,
7429.3467750549,5.125385E-4,
7425.4893779755,4.964091E-4,
7421.631980896,5.17768E-4,
7417.7745838165,5.211377E-4,
7413.9171867371,5.372859E-4,
7410.0597896576,5.516794E-4,
7406.2023925781,5.477241E-4,
7402.3449954987,5.483131E-4,
7398.4875984192,5.486369E-4,
7394.6302013397,5.31916E-4,
7390.7728042603,5.098052E-4,
7386.9154071808,5.011674E-4,
7383.0580101013,5.120378E-4,
7379.2006130219,5.342625E-4,
7375.3432159424,5.492663E-4,
7371.4858188629,5.505905E-4,
7367.6284217834,5.471979E-4,
7363.771024704,5.453005E-4,
7359.9136276245,5.509097E-4,
7356.056230545,5.65126E-4,
7352.1988334656,5.789552E-4,
7348.3414363861,5.872094E-4,
7344.4840393066,5.950691E-4,
7340.6266422272,5.992404E-4,
7336.7692451477,5.847898E-4,
7332.9118480682,5.569202E-4,
7329.0544509888,5.313014E-4,
7325.1970539093,5.145457E-4,
7321.3396568298,5.100115E-4,
7317.4822597504,5.158616E-4,
7313.6248626709,5.364423E-4,
7309.7674655914,5.677323E-4,
7305.910068512,5.864666E-4,
7302.0526714325,5.900041E-4,
7298.195274353,5.947954E-4,
7294.3378772736,5.968585E-4,
7290.4804801941,5.837096E-4,
7286.6230831146,5.679147E-4,
7282.7656860352,5.706258E-4,
7278.9082889557,5.908639E-4,
7275.0508918762,6.106314E-4,
7271.1934947968,6.124125E-4,
7267.3360977173,5.946534E-4,
7263.4787006378,5.801218E-4,
7259.6213035583,5.87619E-4,
7255.7639064789,6.025084E-4,
7251.9065093994,6.031587E-4,
7248.0491123199,5.944105E-4,
7244.1917152405,5.976193E-4,
7240.334318161,6.146903E-4,
7236.4769210815,6.20101E-4,
7232.6195240021,6.072131E-4,
7228.7621269226,6.055033E-4,
7224.9047298431,6.247576E-4,
7221.0473327637,6.398333E-4,
7217.1899356842,6.44723E-4,
7213.3325386047,6.478813E-4,
7209.4751415253,6.43705E-4,
7205.6177444458,6.362685E-4,
7201.7603473663,6.360491E-4,
7197.9029502869,6.390103E-4,
7194.0455532074,6.332999E-4,
7190.1881561279,6.19476E-4,
7186.3307590485,6.159942E-4,
7182.473361969,6.282E-4,
7178.6159648895,6.438775E-4,
7174.7585678101,6.568555E-4,
7170.9011707306,6.612719E-4,
7167.0437736511,6.527904E-4,
7163.1863765717,6.378363E-4,
7159.3289794922,6.276979E-4,
7155.4715824127,6.314965E-4,
7151.6141853333,6.410113E-4,
7147.7567882538,6.50998E-4,
7143.8993911743,6.71086E-4,
7140.0419940948,6.850391E-4,
7136.1845970154,6.832978E-4,
7132.3271999359,6.851326E-4,
7128.4698028564,6.857995E-4,
7124.612405777,6.798209E-4,
7120.7550086975,6.811356E-4,
7116.897611618,6.88517E-4,
7113.0402145386,6.983578E-4,
7109.1828174591,7.132669E-4,
7105.3254203796,7.195252E-4,
7101.4680233002,7.099191E-4,
7097.6106262207,7.07193E-4,
7093.7532291412,7.149681E-4,
7089.8958320618,7.1253E-4,
7086.0384349823,7.068556E-4,
7082.1810379028,7.011111E-4,
7078.3236408234,6.848822E-4,
7074.4662437439,6.834341E-4,
7070.6088466644,7.083535E-4,
7066.751449585,7.274348E-4,
7062.8940525055,7.281116E-4,
7059.036655426,7.206008E-4,
7055.1792583466,7.145023E-4,
7051.3218612671,7.215103E-4,
7047.4644641876,7.387105E-4,
7043.6070671082,7.525833E-4,
7039.7496700287,7.551557E-4,
7035.8922729492,7.436417E-4,
7032.0348758698,7.361696E-4,
7028.1774787903,7.513299E-4,
7024.3200817108,7.662686E-4,
7020.4626846313,7.514764E-4,
7016.6052875519,7.218383E-4,
7012.7478904724,7.246516E-4,
7008.8904933929,7.706119E-4,
7005.0330963135,8.093075E-4,
7001.175699234,8.123502E-4,
6997.3183021545,7.961116E-4,
6993.4609050751,7.63354E-4,
6989.6035079956,7.228703E-4,
6985.7461109161,7.144734E-4,
6981.8887138367,7.404654E-4,
6978.0313167572,7.56003E-4,
6974.1739196777,7.594152E-4,
6970.3165225983,7.792522E-4,
6966.4591255188,8.050489E-4,
6962.6017284393,8.159622E-4,
6958.7443313599,8.165821E-4,
6954.8869342804,8.190456E-4,
6951.0295372009,8.278154E-4,
6947.1721401215,8.538929E-4,
6943.314743042,8.907859E-4,
6939.4573459625,8.938263E-4,
6935.5999488831,8.590171E-4,
6931.7425518036,8.32978E-4,
6927.8851547241,8.267503E-4,
6924.0277576447,8.193012E-4,
6920.1703605652,8.184604E-4,
6916.3129634857,8.516369E-4,
6912.4555664063,8.899259E-4,
6908.5981693268,8.784863E-4,
6904.7407722473,8.433722E-4,
6900.8833751678,8.40888E-4,
6897.0259780884,8.680274E-4,
6893.1685810089,8.88511E-4,
6889.3111839294,8.806982E-4,
6885.45378685,8.567265E-4,
6881.5963897705,8.397311E-4,
6877.738992691,8.373578E-4,
6873.8815956116,8.4585E-4,
6870.0241985321,8.55665E-4,
6866.1668014526,8.6242E-4,
6862.3094043732,8.746667E-4,
6858.4520072937,9.027463E-4,
6854.5946102142,9.327952E-4,
6850.7372131348,9.346728E-4,
6846.8798160553,9.147353E-4,
6843.0224189758,9.055696E-4,
6839.1650218964,9.131413E-4,
6835.3076248169,9.249871E-4,
6831.4502277374,9.299023E-4,
6827.592830658,9.175186E-4,
6823.7354335785,9.014363E-4,
6819.878036499,9.075243E-4,
6816.0206394196,9.216143E-4,
6812.1632423401,9.235929E-4,
6808.3058452606,9.22823E-4,
6804.4484481812,9.208848E-4,
6800.5910511017,9.266484E-4,
6796.7336540222,9.461443E-4,
6792.8762569427,9.525616E-4,
6789.0188598633,9.435161E-4,
6785.1614627838,9.436572E-4,
6781.3040657043,9.539987E-4,
6777.4466686249,9.597912E-4,
6773.5892715454,9.504954E-4,
6769.7318744659,9.358247E-4,
6765.8744773865,9.401224E-4,
6762.017080307,9.559762E-4,
6758.1596832275,9.614518E-4,
6754.3022861481,9.61123E-4,
6750.4448890686,9.551435E-4,
6746.5874919891,9.438824E-4,
6742.7300949097,9.430835E-4,
6738.8726978302,9.578539E-4,
6735.0153007507,9.83525E-4,
6731.1579036713,0.0010090112,
6727.3005065918,0.0010174597,
6723.4431095123,0.0010067229,
6719.5857124329,0.0010007534,
6715.7283153534,0.001010205,
6711.8709182739,0.0010207009,
6708.0135211945,0.0010297741,
6704.156124115,0.0010324211,
6700.2987270355,0.0010200584,
6696.4413299561,0.0010033238,
6692.5839328766,9.94083E-4,
6688.7265357971,9.882939E-4,
6684.8691387177,9.825042E-4,
6681.0117416382,9.832726E-4,
6677.1543445587,9.91711E-4,
6673.2969474792,0.0010125048,
6669.4395503998,0.0010467749,
6665.5821533203,0.0010710461,
6661.7247562408,0.0010703161,
6657.8673591614,0.0010703816,
6654.0099620819,0.0010886092,
6650.1525650024,0.0010950326,
6646.295167923,0.0010806827,
6642.4377708435,0.001071172,
6638.580373764,0.0010678084,
6634.7229766846,0.0010666786,
6630.8655796051,0.0010820429,
6627.0081825256,0.0011070606,
6623.1507854462,0.0011177156,
6619.2933883667,0.0011164442,
6615.4359912872,0.0011169303,
6611.5785942078,0.001121834,
6607.7211971283,0.0011260945,
6603.8638000488,0.0011275099,
6600.0064029694,0.0011311175,
6596.1490058899,0.0011404627,
6592.2916088104,0.0011537698,
6588.434211731,0.0011586766,
6584.5768146515,0.0011557005,
6580.719417572,0.0011553634,
6576.8620204926,0.0011548323,
6573.0046234131,0.0011472986,
6569.1472263336,0.0011371593,
6565.2898292542,0.0011429985,
6561.4324321747,0.0011610084,
6557.5750350952,0.0011748415,
6553.7176380157,0.0011860643,
6549.8602409363,0.0011965337,
6546.0028438568,0.0011955873,
6542.1454467773,0.001187617,
6538.2880496979,0.0011952773,
6534.4306526184,0.0012079668,
6530.5732555389,0.0012119178,
6526.7158584595,0.0012061941,
6522.85846138,0.0011951739,
6519.0010643005,0.0011948227,
6515.1436672211,0.0012051093,
6511.2862701416,0.0012184443,
6507.4288730621,0.0012141867,
6503.5714759827,0.0011951213,
6499.7140789032,0.0011783252,
6495.8566818237,0.0011846541,
6491.9992847443,0.0012114362,
6488.1418876648,0.001223279,
6484.2844905853,0.001257752,
6480.4270935059,0.0012494577,
6476.5696964264,0.0012157778,
6472.7122993469,0.0013198463,
6468.8549022675,0.0012877868,
6464.997505188,0.0010526825,
6461.1401081085,0.0011996969,
6457.2827110291,0.001767202,
6453.4253139496,0.0021610716,
6449.5679168701,0.0021676905,
6445.7105197906,0.0019433959,
6441.8531227112,0.0016668129,
6437.9957256317,0.0014920793,
6434.1383285522,0.0013839577,
6430.2809314728,0.001287728,
6426.4235343933,0.001274909,
6422.5661373138,0.0013129737,
6418.7087402344,0.0013268774,
6414.8513431549,0.0013110167,
6410.9939460754,0.0012956052,
6407.136548996,0.0013089039,
6403.2791519165,0.0013316744,
6399.421754837,0.0013412473,
6395.5643577576,0.001338132,
6391.7069606781,0.0013390327,
6387.8495635986,0.001345726,
6383.9921665192,0.0013563391,
6380.1347694397,0.0013765821,
6376.2773723602,0.0013846273,
6372.4199752808,0.0013713149,
6368.5625782013,0.0013590682,
6364.7051811218,0.0013688515,
6360.8477840424,0.0013862664,
6356.9903869629,0.0013833693,
6353.1329898834,0.0013681201,
6349.275592804,0.0013678735,
6345.4181957245,0.001394459,
6341.560798645,0.0014285761,
6337.7034015656,0.0014420648,
6333.8460044861,0.0014285224,
6329.9886074066,0.0014127976,
6326.1312103271,0.0014151743,
6322.2738132477,0.0014256029,
6318.4164161682,0.0014328429,
6314.5590190887,0.0014314824,
6310.7016220093,0.001430311,
6306.8442249298,0.0014355716,
6302.9868278503,0.0014406488,
6299.1294307709,0.0014572182,
6295.2720336914,0.0014767196,
6291.4146366119,0.0014745917,
6287.5572395325,0.0014761493,
6283.699842453,0.0015010338,
6279.8424453735,0.0015239425,
6275.9850482941,0.0015339595,
6272.1276512146,0.0015312959,
6268.2702541351,0.0015265171,
6264.4128570557,0.0015382289,
6260.5554599762,0.001548538,
6256.6980628967,0.0015386615,
6252.8406658173,0.0015213867,
6248.9832687378,0.0015156519,
6245.1258716583,0.0015240754,
6241.2684745789,0.0015344784,
6237.4110774994,0.0015438991,
6233.5536804199,0.001547033,
6229.6962833405,0.0015333621,
6225.838886261,0.0015154587,
6221.9814891815,0.0015135275,
6218.1240921021,0.0015208538,
6214.2666950226,0.0015212989,
6210.4092979431,0.0015248887,
6206.5519008636,0.0015424928,
6202.6945037842,0.0015606589,
6198.8371067047,0.0015783493,
6194.9797096252,0.0016007801,
6191.1223125458,0.0016059797,
6187.2649154663,0.0015965113,
6183.4075183868,0.0016066473,
6179.5501213074,0.001621179,
6175.6927242279,0.0016098421,
6171.8353271484,0.0016065249,
6167.977930069,0.0016356369,
6164.1205329895,0.0016673517,
6160.26313591,0.0016918952,
6156.4057388306,0.001709247,
6152.5483417511,0.0017099965,
6148.6909446716,0.0017041173,
6144.8335475922,0.0016993319,
6140.9761505127,0.0017000707,
6137.1187534332,0.0017007084,
6133.2613563538,0.0016862124,
6129.4039592743,0.0016780221,
6125.5465621948,0.0017016169,
6121.6891651154,0.0017309932,
6117.8317680359,0.001727368,
