reference.0,reference.0,
7494.9225254059,0.003005567,
7491.0651283264,0.0030213506,
7487.2077312469,0.003035696,
7483.3503341675,0.0030538444,
7479.492937088,0.0030607232,
7475.6355400085,0.0030723428,
7471.7781429291,0.0030953679,
7467.9207458496,0.0031051652,
7464.0633487701,0.0031195278,
7460.2059516907,0.0031339256,
7456.3485546112,0.0031495641,
7452.4911575317,0.0031637123,
7448.6337604523,0.0031750309,
7444.7763633728,0.0031918003,
7440.9189662933,0.0032085809,
7437.0615692139,0.0032193339,
7433.2041721344,0.0032283664,
7429.3467750549,0.0032461858,
7425.4893779755,0.0032570981,
7421.631980896,0.0032773758,
7417.7745838165,0.0032900306,
7413.9171867371,0.0033031129,
7410.0597896576,0.0033159773,
7406.2023925781,0.0033323043,
7402.3449954987,0.0033450483,
7398.4875984192,0.0033610207,
7394.6302013397,0.0033740038,
7390.7728042603,0.003392878,
7386.9154071808,0.0034075286,
7383.0580101013,0.0034143187,
7379.2006130219,0.0034351451,
7375.3432159424,0.0034471867,
7371.4858188629,0.0034630983,
7367.6284217834,0.0034789364,
7363.771024704,0.0034969682,
7359.9136276245,0.0035109972,
7356.056230545,0.0035237474,
7352.1988334656,0.0035411511,
7348.3414363861,0.0035465469,
7344.4840393066,0.0035706197,
7340.6266422272,0.0035772524,
7336.7692451477,0.0035951189,
7332.9118480682,0.0036081751,
7329.0544509888,0.0036270153,
7325.1970539093,0.0036427339,
7321.3396568298,0.0036600421,
7317.4822597504,0.0036755656,
7313.6248626709,0.0036909077,
7309.7674655914,0.0037052217,
7305.910068512,0.0037171259,
7302.0526714325,0.0037364543,
7298.195274353,0.0037490455,
7294.3378772736,0.003763556,
7290.4804801941,0.0037737796,
7286.6230831146,0.00379617,
7282.7656860352,0.0038101566,
7278.9082889557,0.0038277982,
7275.0508918762,0.003847016,
7271.1934947968,0.0038568429,
7267.3360977173,0.0038743843,
7263.4787006378,0.0038920962,
7259.6213035583,0.0039086784,
7255.7639064789,0.0039226501,
7251.9065093994,0.0039384868,
7248.0491123199,0.0039563384,
7244.1917152405,0.0039732023,
7240.334318161,0.0039860914,
7236.4769210815,0.004001407,
7232.6195240021,0.0040213633,
7228.7621269226,0.0040413705,
7224.9047298431,0.0040531973,
7221.0473327637,0.004071149,
7217.1899356842,0.00408627,
7213.3325386047,0.0040997677,
7209.4751415253,0.004121453,
7205.6177444458,0.0041356767,
7201.7603473663,0.0041480046,
7197.9029502869,0.0041696895,
7194.0455532074,0.0041855546,
7190.1881561279,0.0042066909,
7186.3307590485,0.0042155506,
7182.473361969,0.0042401832,
7178.6159648895,0.0042498601,
7174.7585678101,0.0042723194,
7170.9011707306,0.0042899074,
7167.0437736511,0.0043069916,
7163.1863765717,0.0043184459,
7159.3289794922,0.0043366714,
7155.4715824127,0.0043552448,
7151.6141853333,0.0043758955,
7147.7567882538,0.0043884953,
7143.8993911743,0.0044027921,
7140.0419940948,0.0044207517,
7136.1845970154,0.0044424329,
7132.3271999359,0.0044596051,
7128.4698028564,0.0044712843,
7124.612405777,0.0045009376,
7120.7550086975,0.0045133913,
7116.897611618,0.0045266016,
7113.0402145386,0.004548531,
7109.1828174591,0.0045667198,
7105.3254203796,0.0045827385,
7101.4680233002,0.0046044737,
7097.6106262207,0.0046182713,
7093.7532291412,0.0046365676,
7089.8958320618,0.0046599563,
7086.0384349823,0.0046671862,
7082.1810379028,0.0046911812,
7078.3236408234,0.0047088051,
7074.4662437439,0.0047291424,
7070.6088466644,0.0047463551,
7066.751449585,0.0047619203,
7062.8940525055,0.0047770422,
7059.036655426,0.0048007397,
7055.1792583466,0.0048204502,
7051.3218612671,0.0048386487,
7047.4644641876,0.0048601879,
7043.6070671082,0.0048779501,
7039.7496700287,0.004897112,
7035.8922729492,0.0049131,
7032.0348758698,0.0049313875,
7028.1774787903,0.0049517192,
7024.3200817108,0.0049685189,
7020.4626846313,0.0049910937,
7016.6052875519,0.0050078165,
7012.7478904724,0.0050233724,
7008.8904933929,0.0050462261,
7005.0330963135,0.0050610248,
7001.175699234,0.005078468,
6997.3183021545,0.0051064026,
6993.4609050751,0.0051226933,
6989.6035079956,0.0051399856,
6985.7461109161,0.0051644025,
6981.8887138367,0.0051786941,
6978.0313167572,0.0051950822,
6974.1739196777,0.0052241478,
6970.3165225983,0.005237502,
6966.4591255188,0.0052617658,
6962.6017284393,0.0052818889,
6958.7443313599,0.0052937632,
6954.8869342804,0.0053159897,
6951.0295372009,0.0053433171,
6947.1721401215,0.0053599086,
6943.314743042,0.005378243,
6939.4573459625,0.005398978,
6935.5999488831,0.0054175747,
6931.7425518036,0.0054411995,
6927.8851547241,0.0054601971,
6924.0277576447,0.0054785702,
6920.1703605652,0.0054981993,
6916.3129634857,0.0055185077,
6912.4555664063,0.0055387751,
6908.5981693268,0.0055585545,
6904.7407722473,0.005579567,
6900.8833751678,0.0055958321,
6897.0259780884,0.0056206835,
6893.1685810089,0.0056458111,
